pos,cog_axis,cog_value,unity_time,unity_state,unity_av,unity_mav,unity_lv,unity_mlv
7/5/6/3/7/5/6/7/7 3 3,Z,-0.5,3.875,SLEEP,0,7,0,1E+16
7/5/6/3/7/5/5/7/7 3 3,X,0.5,2.375,SLEEP,0,7,0,1E+16
7/5/6/3/7/5/3/7/7 3 3,X,0.5666666666666666666666666666,6.5,SLEEP,0,7,0,1E+16
7/5/6/3/7/5/7/6/7 3 3,Z,-0.5769230769230769230769230769,8.875,SLEEP,0,7,0,1E+16
7/5/6/3/7/5/7/5/7 3 3,X,0.5,4.75,SLEEP,0,7,0,1E+16
7/5/6/3/7/5/7/3/7 3 3,X,0.5,3.375,SLEEP,0,7,0,1E+16
7/5/6/3/7/5/7/7/6 3 3,Z,-0.5,2.75,SLEEP,0,7,0,1E+16
7/5/6/3/7/5/7/7/5 3 3,X,0.5,4.25,SLEEP,0,7,0,1E+16
7/5/6/3/7/5/7/7/3 3 3,X,0.5666666666666666666666666666,6.5,SLEEP,0,7,0,1E+16
7/5/6/3/7/3/6/7/7 3 3,Z,-0.5,6,SLEEP,0,7,0,1E+16
7/5/6/3/7/3/5/7/7 3 3,X,0.5,6,SLEEP,0,7,0,1E+16
7/5/6/3/7/3/3/7/7 3 3,X,0.5666666666666666666666666666,5.5,SLEEP,0,7,0,1E+16
7/5/6/3/7/3/7/6/7 3 3,Z,-0.625,5.125,SLEEP,0,7,0,1E+16
7/5/6/3/7/3/7/5/7 3 3,X,0.5,5.625,SLEEP,0,7,0,1E+16
7/5/6/3/7/3/7/3/7 3 3,X,0.5,2.625,SLEEP,0,7,0,1E+16
7/5/6/3/7/3/7/7/6 3 3,Z,-0.5,4.375,SLEEP,0,7,0,1E+16
7/5/6/3/7/3/7/7/5 3 3,X,0.5,4,SLEEP,0,7,0,1E+16
7/5/6/3/7/3/7/7/3 3 3,X,0.5666666666666666666666666666,3.75,SLEEP,0,7,0,1E+16
7/5/6/3/7/7/2/7/7 3 3,X,0.5,4,SLEEP,0,7,0,1E+16
7/5/6/3/7/7/6/6/7 3 3,Z,-0.5769230769230769230769230769,5,SLEEP,0,7,0,1E+16
7/5/6/3/7/7/6/5/7 3 3,Z,-0.5,3.125,SLEEP,0,7,0,1E+16
7/5/6/3/7/7/6/3/7 3 3,X,0.5,3.625,SLEEP,0,7,0,1E+16
7/5/6/3/7/7/6/7/6 3 3,Z,-0.5,3.625,SLEEP,0,7,0,1E+16
7/5/6/3/7/7/6/7/5 3 3,Z,-0.5,3.5,SLEEP,0,7,0,1E+16
7/5/6/3/7/7/6/7/3 3 3,X,0.7,5.75,SLEEP,0,7,0,1E+16
7/5/6/3/7/7/5/6/7 3 3,Z,-0.5769230769230769230769230769,9,SLEEP,0,7,0,1E+16
7/5/6/3/7/7/5/5/7 3 3,X,0.5,5.375,SLEEP,0,7,0,1E+16
7/5/6/3/7/7/5/3/7 3 3,X,0.5,2.375,SLEEP,0,7,0,1E+16
7/5/6/3/7/7/5/7/6 3 3,Z,-0.5,4.125,SLEEP,0,7,0,1E+16
7/5/6/3/7/7/5/7/5 3 3,X,0.5,4,SLEEP,0,7,0,1E+16
7/5/6/3/7/7/5/7/3 3 3,X,0.5666666666666666666666666666,5.75,SLEEP,0,7,0,1E+16
7/5/6/3/7/7/3/6/7 3 3,Z,-0.5769230769230769230769230769,4.875,SLEEP,0,7,0,1E+16
7/5/6/3/7/7/3/5/7 3 3,X,0.5666666666666666666666666666,4.75,SLEEP,0,7,0,1E+16
7/5/6/3/7/7/3/3/7 3 3,X,0.5666666666666666666666666666,5.5,SLEEP,0,7,0,1E+16
7/5/6/3/7/7/3/7/6 3 3,X,-0.7,3.625,SLEEP,0,7,0,1E+16
7/5/6/3/7/7/3/7/5 3 3,X,0.5666666666666666666666666666,6.25,SLEEP,0,7,0,1E+16
7/5/6/3/7/7/3/7/3 3 3,X,0.6333333333333333333333333333,4.125,SLEEP,0,7,0,1E+16
7/5/6/3/7/7/7/2/7 3 3,X,0.5,7,SLEEP,0,7,0,1E+16
7/5/6/3/7/7/7/6/6 3 3,Z,-0.5769230769230769230769230769,3.125,SLEEP,0,7,0,1E+16
